image_url,image_path,hate_final,appropriate_final,topic,topic_id,ocr,caption
https://dl.dropboxusercontent.com/scl/fi/4913umzkp23np4gig43lm/2375003449526543.jpeg?rlkey=y3jcg1o8uievjabcyncshmbgb,2375003449526543.jpeg,hate,inappropriate,"individual, gender","Individu, Jenis Kelamin","SUAMI NGEJAR KARIR
ISTRINYA NGEJAR LENDIR",Visual ini menyajikan kontras antara seorang suami yang fokus mengejar karir dan istrinya yang secara implisit dikaitkan dengan perilaku berkonotasi negatif.
https://dl.dropboxusercontent.com/scl/fi/gsdvy46diiro4d5dlqulb/2304323296603616.jpeg?rlkey=gull1ilx2dre2pyc0eu0olso5,2304323296603616.jpeg,hate,inappropriate,"individual, political","Individu, Politik","""Godvlan walaupun Rimsvek Omyo itu kurang memuaskan apalagi omke gas kalo kalian perhatikan baik-baik but nonton lagi sebenarnya tam vkr tam vkr memeruk Assalamualaikum","Visual ini memadukan ulasan teks informal yang disensor dengan adegan komedi karakter kartun, menciptakan kontras humoris dan ironi."
https://dl.dropboxusercontent.com/scl/fi/ra7s3oplbjq8b0e2wubkb/1279082089452362.jpeg?rlkey=0g77qaqjfrmy3qrgtknl6o9aa,1279082089452362.jpeg,hate,inappropriate,social sub-groups,Kelompok Sosial,"Dewasa bukan soal umur, Tapi tentang pemikiran. contohnya aku, walaupun aku masih sekolah tapi pemikiranku sudah seperti orang dewasa, sedangkan diluar sana banyak orang dewasa yang berfikiran sempit dan kekanak kanakan. Jelas aku bangga pada diriku yang masih bocah namun pemikiranku dewasa dan mentalku kuat..... Tidak usah membanding2kan dengan orang lain, urus saja dirimu, karna apa yang aku lakukan tidak ada hubungannya denganmu. -Wanita terkuat","Visual ini memadukan pernyataan kematangan dini dan promosi konten dengan ikon BIN berkacamata hitam, menyiratkan kepercayaan diri dan sikap mandiri."
https://dl.dropboxusercontent.com/scl/fi/hwu2laktsewogvfsus6cl/729319119235607.jpeg?rlkey=uxwkmiypgjgzafgp5jl7yseay,729319119235607.jpeg,not hate,inappropriate,gender,Jenis Kelamin,kenapa di kamar mu ada baby oil ? padahal di tempat ini tidak ada bayi,"Gambar menampilkan Spongebob mengajukan pertanyaan menjebak mengenai keberadaan baby oil, mengejutkan karakter di hadapannya."
https://dl.dropboxusercontent.com/scl/fi/1bb5fck2czjmb1p5sgpz9/2283677175334895.jpeg?rlkey=oe2utkikx647gydfvdzsac3uv,2283677175334895.jpeg,not hate,appropriate,political,Politik,"RELAX edgelord. It's called
HARI KESAKTIAN PANCASILA",Visual ini menampilkan Superman mengklarifikasi perubahan tanggal dari 30 September ke 1 Oktober sebagai Hari Kesaktian Pancasila.
https://dl.dropboxusercontent.com/scl/fi/u2o4oxcfvsb94qoy62sd5/122148221540083809.jpeg?rlkey=5nnnvxs8gq0wxojl4vg0ecgmk,122148221540083809.jpeg,hate,inappropriate,gender,Jenis Kelamin,"Ketika ketemu cowo ganteng di jalan Gewe:
•Dia Liatin AKU TADI
•AAA GANTENG
•Dia Suka GW KECNYA DEH","Visual ini secara humoris merepresentasikan berbagai respons emosional wanita saat berpapasan dengan pria menarik, dari kekaguman hingga asumsi pribadi."
https://dl.dropboxusercontent.com/scl/fi/pvghg9djrwlg6av3fvt3v/592609227069843.jpeg?rlkey=lejw6fe9lhxnw4y3642sxziu3,592609227069843.jpeg,not hate,appropriate,social sub-groups,Kelompok Sosial,"Berantem jaman dulu :
Berantem sekarang :
Ku viralkan kau ya
Kau yang ku viralkan",Visual ini menggambarkan pergeseran konflik dari pertarungan fisik tradisional menjadi ancaman viralisasi di media sosial.
https://dl.dropboxusercontent.com/scl/fi/jegzeqcv3m0gxygiv818g/1962144164316784.jpeg?rlkey=sr3fc834qp3uxxm5wz15eygd2,1962144164316784.jpeg,hate,inappropriate,"gender, individual","Jenis Kelamin, Individu","duta wisuda
duta independet dengan gas 3kg nya
duta budaya","Kolase ini mengklasifikasikan tiga potret perempuan muda dengan label humoris: ""duta wisuda"", ""duta independen dengan gas 3kg"", dan ""duta budaya""."
https://dl.dropboxusercontent.com/scl/fi/x49su8n43a7ix1yrvy45m/1042763367886087.jpeg?rlkey=wedibtttc8omnqqdbtvdr97a3,1042763367886087.jpeg,not hate,inappropriate,"social sub-groups, gender","Kelompok Sosial, Jenis Kelamin","SUDAHI CEK OUTMU
KAMI JUGA INGIN LEBARAN
DI RUMAH
KANGEN-TEMPENE-BOJDNE
*SING-ANAS-RUNDENGE
OTW MUDIK III","Spanduk di truk menampilkan permohonan pekerja logistik untuk menghentikan pesanan demi mudik Lebaran, menyiratkan kerinduan akan kampung halaman."
https://dl.dropboxusercontent.com/scl/fi/abqy9d49qkp5bflekiba0/633810871887572.jpeg?rlkey=hfjplg4lw8vmxoc8nepr1wdba,633810871887572.jpeg,not hate,inappropriate,gender,Jenis Kelamin,"ORANG YANG
TYDYDNYA BENGKOK
KESERINGAN
COLI TINDIH","Ilustrasi sosok bijak kuno di reruntuhan menyampaikan narasi satir mengenai hubungan kebiasaan dan bentuk fisik, khas konten meme."
